"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Book title","Proceedings title","Date published","URLs","DOI","Abstract","Keywords","Notes","Language","Sub-type","Series","Eprint ID","Chapter"
"Journal Article","Skiba K,Thimm M","","Towards Ranking-based Semantics for Abstract Argumentation using Conditional Logic Semantics","CoRR","2020","abs/2008.02735","","","","","","","2020","https://arxiv.org/abs/2008.02735","","","workshop","","","","","2008.02735",""
"Conference Paper","Skiba K,Neugebauer D,Rothe J","Giacomo G,Catalá A,Dilkina B,Milano M,Barro S,Bugarín A,Lang J","Complexity of Possible and Necessary Existence Problems in Abstract Argumentation","","2020","325","","897-904","IOS Press","","","ECAI 2020 - 24th European Conference on Artificial Intelligence, 29 August-8 September 2020, Santiago de Compostela, Spain, August 29 - September 8, 2020 - Including Tenth Conference on Prestigious Applications of Artificial Intelligence (PAIS 2020)","2020","https://doi.org/10.3233/FAIA200181;http://dx.doi.org/10.3233/FAIA200181","10.3233/FAIA200181","","","","","","Frontiers in Artificial Intelligence and Applications","",""
"Conference Paper","Skiba K,Thimm M,Cohen A,Gottifredi S,García AJ","Prakken H,Bistarelli S,Santini F,Taticchi C","Abstract Argumentation Frameworks with Fallible Evidence","","2020","326","","347-354","IOS Press","","","Computational Models of Argument - Proceedings of COMMA 2020, Perugia, Italy, September 4-11, 2020","2020","https://doi.org/10.3233/FAIA200518;http://dx.doi.org/10.3233/FAIA200518","10.3233/FAIA200518","","","","","","Frontiers in Artificial Intelligence and Applications","",""
"Conference Paper","Kuhlmann I,Rienstra T,Bengel L,Skiba K,Thimm M","Bienvenu M,Lakemeyer G,Erdem E","Distinguishability in Abstract Argumentation","","2021","","","686-690","","","","Proceedings of the Eighteenth International Conference on Principles of Knowledge Representation and Reasoning, KR 2021, Online event, November 3-12, 2021","2021","https://doi.org/10.24963/kr.2021/70;http://dx.doi.org/10.24963/KR.2021/70","10.24963/KR.2021/70","","","","","","","",""
"Conference Paper","Heyninck J,Kern-Isberner G,Rienstra T,Skiba K,Thimm M","Bienvenu M,Lakemeyer G,Erdem E","Revision and Conditional Inference for Abstract Dialectical Frameworks","","2021","","","345-355","","","","Proceedings of the Eighteenth International Conference on Principles of Knowledge Representation and Reasoning, KR 2021, Online event, November 3-12, 2021","2021","https://doi.org/10.24963/kr.2021/33;http://dx.doi.org/10.24963/KR.2021/33","10.24963/KR.2021/33","","","","","","","",""
"Conference Paper","Skiba K,Rienstra T,Thimm M,Heyninck J,Kern-Isberner G","Zhou ZH","Ranking Extensions in Abstract Argumentation","","2021","","","2047-2053","ijcai.org","","","Proceedings of the Thirtieth International Joint Conference on Artificial Intelligence, IJCAI 2021, Virtual Event / Montreal, Canada, 19-27 August 2021","2021","https://doi.org/10.24963/ijcai.2021/282;http://dx.doi.org/10.24963/IJCAI.2021/282","10.24963/IJCAI.2021/282","","relevant","","","","","",""
"Conference Paper","Neugebauer D,Rothe J,Skiba K","Vejnarová J,Wilson N","Complexity of Nonemptiness in Control Argumentation Frameworks","","2021","12897","","117-129","Springer","","","Symbolic and Quantitative Approaches to Reasoning with Uncertainty - Sixteenth European Conference, ECSQARU 2021, Prague, Czech Republic, September 21-24, 2021, Proceedings","2021","https://doi.org/10.1007/978-3-030-86772-0_9;http://dx.doi.org/10.1007/978-3-030-86772-0_9","10.1007/978-3-030-86772-0_9","","","","","","Lecture Notes in Computer Science","",""
"Journal Article","Skiba K,Neugebauer D,Rothe J","","Complexity of Nonempty Existence Problems in Incomplete Argumentation Frameworks","IEEE Intelligent Systems","2021","36","2","13-24","","","","","2021","https://doi.org/10.1109/MIS.2020.3046782;http://dx.doi.org/10.1109/MIS.2020.3046782","10.1109/MIS.2020.3046782","","journal","","","","","",""
"Journal Article","Heyninck J,Kern-Isberner G,Thimm M,Skiba K","","On the correspondence between abstract dialectical frameworks and nonmonotonic conditional logics","Annals of Mathematics and Artificial Intelligence","2021","89","10-11","1075-1099","","","","","2021","https://doi.org/10.1007/s10472-021-09758-y;http://dx.doi.org/10.1007/S10472-021-09758-Y","10.1007/S10472-021-09758-Y","","journal","","","","","",""
"Miscellaneous","Lohr M,Skiba K,Konersmann M,Jürjens J,Staab S","","Formalizing Cost Fairness for Two-Party Exchange Protocols using Game Theory and Applications to Blockchain (Extended Version)","CoRR","2022","abs/2203.05925","","","","","","","2022","https://doi.org/10.48550/arXiv.2203.05925;http://dx.doi.org/10.48550/ARXIV.2203.05925","10.48550/ARXIV.2203.05925","","workshop","","","","","2203.05925",""
"Conference Paper","Heyninck J,Kern-Isberner G,Rienstra T,Skiba K,Thimm M","Raedt L","Possibilistic Logic Underlies Abstract Dialectical Frameworks","","2022","","","2655-2661","ijcai.org","","","Proceedings of the Thirty-First International Joint Conference on Artificial Intelligence, IJCAI 2022, Vienna, Austria, 23-29 July 2022","2022","https://doi.org/10.24963/ijcai.2022/368;http://dx.doi.org/10.24963/IJCAI.2022/368","10.24963/IJCAI.2022/368","","","","","","","",""
"Conference Paper","Lohr M,Skiba K,Konersmann M,Jürjens J,Staab S","","Formalizing Cost Fairness for Two-Party Exchange Protocols using Game Theory and Applications to Blockchain","","2022","","","1-5","IEEE","","","IEEE International Conference on Blockchain and Cryptocurrency, ICBC 2022, Shanghai, China, May 2-5, 2022","2022","https://doi.org/10.1109/ICBC54727.2022.9805522;http://dx.doi.org/10.1109/ICBC54727.2022.9805522","10.1109/ICBC54727.2022.9805522","","","","","","","",""
"Conference Paper","Skiba K,Thimm M","Toni F,Polberg S,Booth R,Caminada M,Kido H","Ordinal Conditional Functions for Abstract Argumentation","","2022","353","","308-319","IOS Press","","","Computational Models of Argument - Proceedings of COMMA 2022, Cardiff, Wales, UK, 14-16 September 2022","2022","https://doi.org/10.3233/FAIA220162;http://dx.doi.org/10.3233/FAIA220162","10.3233/FAIA220162","","relevant","","","","Frontiers in Artificial Intelligence and Applications","",""
"Journal Article","Skiba K,Thimm M,Rienstra T,Heyninck J,Kern-Isberner G","Gaggl SA,Mailly JG,Thimm M,Wallner JP","Realisability of Rankings-based Semantics","Proceedings of the Fourth International Workshop on Systems and Algorithms for Formal Argumentation co-located with the Ninth International Conference on Computational Models of Argument (COMMA 2022), Cardiff, Wales, United Kingdom, September 13, 2022","2022","3236","","73-85","CEUR-WS.org","","","","2022","https://ceur-ws.org/Vol-3236/paper6.pdf","","","workshop","","","","CEUR Workshop Proceedings","",""
"Journal Article","Rienstra T,Heyninck J,Kern-Isberner G,Skiba K,Thimm M","Cyras K,Kampik T,Cocarascu O,Rago A","Explaining Argument Acceptance in ADFs","1st International Workshop on Argumentation for eXplainable AI co-located with Ninth International Conference on Computational Models of Argument (COMMA 2022), Cardiff, Wales, September 12, 2022","2022","3209","","","CEUR-WS.org","","","","2022","https://ceur-ws.org/Vol-3209/1525.pdf","","","workshop","","","","CEUR Workshop Proceedings","",""
"Conference Paper","Heyninck J,Thimm M,Kern-Isberner G,Rienstra T,Skiba K","","Conditional Abstract Dialectical Frameworks","","2022","","","5692-5699","AAAI Press","","","Thirty-Sixth AAAI Conference on Artificial Intelligence, AAAI 2022, Thirty-Fourth Conference on Innovative Applications of Artificial Intelligence, IAAI 2022, The Twelveth Symposium on Educational Advances in Artificial Intelligence, EAAI 2022 Virtual Event, February 22 - March 1, 2022","2022","https://doi.org/10.1609/aaai.v36i5.20511;http://dx.doi.org/10.1609/AAAI.V36I5.20511","10.1609/AAAI.V36I5.20511","","","","","","","",""
"Journal Article","Skiba K,Thimm M,Wallner JP","Beierle C,Sauerwald K,Schwarzentruber F,Stolzenburg F","Ranking-based Semantics for Assumption-based Argumentation","Proceedings of the 9th Workshop on Formal and Cognitive Reasoning co-located with the forty-sixth German Conference on Artificial Intelligence (KI 2023), Berlin, Germany, September 26, 2023","2023","3500","","44-52","CEUR-WS.org","","","","2023","https://ceur-ws.org/Vol-3500/paper3.pdf","","","workshop","","","","CEUR Workshop Proceedings","",""
